"Geographical Location","Report Date","MDS Item Question/Description","MDS Item Response",Percent,"Total Residents"
"District of Columbia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,84.01,967
"District of Columbia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
"District of Columbia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
"District of Columbia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
"District of Columbia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
"District of Columbia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
"District of Columbia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.13,13
"District of Columbia","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,13.38,154
Florida,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,82.88,26901
Florida,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.26,86
Florida,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.18,60
Florida,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.33,106
Florida,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.33,106
Florida,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.45,145
Florida,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.96,313
Florida,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,14.6,4740
Georgia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,75.31,11947
Georgia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.42,67
Georgia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.26,42
Georgia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.35,55
Georgia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.37,59
Georgia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.59,93
Georgia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.26,200
Georgia,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,21.43,3400
Hawaii,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,86.34,1315
Hawaii,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Hawaii,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Hawaii,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Hawaii,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
Hawaii,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Hawaii,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,*,*
Hawaii,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,12.08,184
Idaho,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,76.13,1429
Idaho,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Idaho,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Idaho,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Idaho,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
Idaho,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Idaho,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.85,16
Idaho,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,21.84,410
Illinois,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,68.04,19708
Illinois,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.43,125
Illinois,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.27,77
Illinois,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.31,91
Illinois,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.46,132
Illinois,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.57,165
Illinois,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.61,467
Illinois,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,28.31,8200
Indiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,80.7,14182
Indiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.32,57
Indiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.19,33
Indiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.17,30
Indiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.19,33
Indiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.3,52
Indiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.92,161
Indiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,17.21,3025
Iowa,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,77.03,7851
Iowa,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.2,20
Iowa,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Iowa,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.12,12
Iowa,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.21,21
Iowa,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.23,23
Iowa,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.92,94
Iowa,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,21.23,2164
Kansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,74.64,5680
Kansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.41,31
Kansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.14,11
Kansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.21,16
Kansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.37,28
Kansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.41,31
Kansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.76,58
Kansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,23.06,1755
Kentucky,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,79.45,8643
Kentucky,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.26,28
Kentucky,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.17,18
Kentucky,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.26,28
Kentucky,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.35,38
Kentucky,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.54,59
Kentucky,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.02,111
Kentucky,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,17.95,1953
Louisiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,73.18,9505
Louisiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.32,42
Louisiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.2,26
Louisiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.23,30
Louisiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.4,52
Louisiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.62,80
Louisiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.35,176
Louisiana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,23.7,3078
Maine,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,77.97,1745
Maine,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Maine,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Maine,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Maine,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
Maine,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Maine,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.83,41
Maine,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,18.95,424
Maryland,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,79.73,8823
Maryland,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.2,22
Maryland,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Maryland,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.17,19
Maryland,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.25,28
Maryland,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.47,52
Maryland,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.97,107
Maryland,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,18.12,2005
Massachusetts,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,73.25,11801
Massachusetts,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.19,30
Massachusetts,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.08,13
Massachusetts,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.24,38
Massachusetts,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.28,45
Massachusetts,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.49,79
Massachusetts,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.33,215
Massachusetts,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,24.14,3889
Michigan,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,78.35,12303
Michigan,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.3,47
Michigan,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.11,18
Michigan,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.18,29
Michigan,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.33,52
Michigan,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.46,72
Michigan,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.5,235
Michigan,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,18.76,2946
Minnesota,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,79.8,7325
Minnesota,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.19,17
Minnesota,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Minnesota,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.12,11
Minnesota,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.19,17
Minnesota,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.23,21
Minnesota,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.8,73
Minnesota,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,18.59,1706
Mississippi,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,72.59,5999
Mississippi,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.29,24
Mississippi,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.13,11
Mississippi,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.21,17
Mississippi,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.42,35
Mississippi,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.48,40
Mississippi,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.73,143
Mississippi,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,24.14,1995
Missouri,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,69.28,11521
Missouri,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.52,87
Missouri,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.13,22
Missouri,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.19,32
Missouri,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.31,52
Missouri,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.43,71
Missouri,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.17,195
Missouri,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,27.96,4649
Montana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,75.45,1140
Montana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Montana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Montana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Montana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
Montana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Montana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.06,16
Montana,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,22.83,345
Nebraska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,76.12,3633
Nebraska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Nebraska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Nebraska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.23,11
Nebraska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.34,16
Nebraska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.52,25
Nebraska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.96,46
Nebraska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,21.56,1029
Nevada,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,76.91,1809
Nevada,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Nevada,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Nevada,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Nevada,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.55,13
Nevada,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.64,15
Nevada,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.87,44
Nevada,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,19.52,459
"New Hampshire","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,76.85,2277
"New Hampshire","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
"New Hampshire","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
"New Hampshire","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
"New Hampshire","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
"New Hampshire","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.54,16
"New Hampshire","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.91,27
"New Hampshire","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,21.03,623
"New Jersey","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,77.57,14908
"New Jersey","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.22,42
"New Jersey","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.11,22
"New Jersey","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.22,43
"New Jersey","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.29,56
"New Jersey","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.31,59
"New Jersey","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.1,211
"New Jersey","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,20.18,3879
"New Mexico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,78.44,1921
"New Mexico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
"New Mexico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
"New Mexico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
"New Mexico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
"New Mexico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.57,14
"New Mexico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.27,31
"New Mexico","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,18.37,450
"New York","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,80.33,39343
"New York","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.37,182
"New York","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.16,78
"New York","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.19,91
"New York","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.28,138
"New York","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.37,181
"New York","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.04,509
"New York","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,17.26,8456
"North Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,82.31,13706
"North Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.3,50
"North Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.14,24
"North Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.26,43
"North Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.31,51
"North Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.5,83
"North Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.9,150
"North Carolina","Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,15.28,2545
